puzzle_id,puzzle,ground_truth,model_answer,strategy,difficulty
0,Która większa: suma 5 i 6 czy iloczyn 2 i 6?,iloczyn,"1. Pierwsze należy odliczyć liczby – sumę 5 + 6 i iloczyn 2 * 6.
    Suma: 11
    Iloczyn: 12

Odpowiedź: Większa jest suma 5 i 6 czyli 11.",Zero-Shot,easy
0,Która większa: suma 5 i 6 czy iloczyn 2 i 6?,iloczyn,Odpowiedź: Iloczyn 2 i 6 jest większy.,One-Shot,easy
0,Która większa: suma 5 i 6 czy iloczyn 2 i 6?,iloczyn,Odpowiedź: Iloczyn 2 i 6 jest większy.,Few-Shot,easy
0,Która większa: suma 5 i 6 czy iloczyn 2 i 6?,iloczyn,"1. Analizujemy problem - ma to co do zagadki z matematyki, dotyczy porównania dwóch wielkości wynikających z różnych operacji arytmetycznych (suma i iloczyn).

2. Rozbijamy problem na mniejsze kroki - porównamy pojedyncze sumy 5 + 6 oraz pojedynczy iloczyn 2 * 6.

3. Rozwiązujemy każdy krok osobno:
   - Suma 5 + 6 = 11 (lub więcej, jeśli dostępujesz do sumy jakiś wcześniejszymi operacjami, np. liczba 7 lub 10+1)
   - Iloczyn 2 * 6 = 12

4. Wyciągamy ostateczny wniosek:
    - Porównując obie wartości uzyskaną w kroku 3, dowiadujemy się, że iloczyn jest większy od sumy.

Odpowiedź: Iloczyn 2 i 6 jest większy niż suma 5 i 6.",Zero-Shot CoT,easy
0,Która większa: suma 5 i 6 czy iloczyn 2 i 6?,iloczyn,"1. Analizuję problem: Zadana jest zagadka porównywania dwóch wartości, tj. sumy dwóch liczb i ilorazu dwóch liczb.

  2. Rozbijam problem na mniejsze kroki: Przeanalizuję wartość poszczególnych wyrażeń (suma 5+6 oraz iloczyn 2*6).

  3. Rozwiążym każdy krok osobno: Sumując liczby, mamie 11, a dla ilorazu otrzymuję wartość 12.

  4. Wyciągnijem ostateczny wniosek: Porównując dwie liczby (11 i 12), stwierdzam, że większą z nich jest wartość 12, która została uzyskana dla iloczynu.

Odpowiedź: Większa wartość to iloczyn 2*6 (12).",Few-Shot CoT,easy
1,Kamil nie wygrał. Marta lepsza niż Patryk. Kto wygrał?,Marta,Odpowiedź: Marta,Zero-Shot,medium
1,Kamil nie wygrał. Marta lepsza niż Patryk. Kto wygrał?,Marta,"Odpowiedź: Kamil nie wygrał, ponieważ Marta lepsza niż Patryk. Zatem z pewnością Patryk nie wygrał. Nie wiadomo kto wygrał, tylko że nie był to Kamil.",One-Shot,medium
1,Kamil nie wygrał. Marta lepsza niż Patryk. Kto wygrał?,Marta,"Odpowiedź: Kamil nie wygrał, ponieważ on lepsi jest Martce i Marta lepsza niż Patryk, więc wzięcie kolejność osób położonych od dołu w dół daje Martce jako zwyciężczyni.",Few-Shot,medium
1,Kamil nie wygrał. Marta lepsza niż Patryk. Kto wygrał?,Marta,"1. Analiza problemu:
     - Kamil nie wygrał (znaczy, że przegrał lub uczestniczył w zawodach)
     - Marta lepsza niż Patryk (tylko trójka osób uczestniczyło w zawodach, więc muszą się porównywać)

  2. Rozbicie problemu na kroki:
     - Kto przegrał? (Kamil)
     - Czy Marta i Patryk uczestniczyli w zawodach? (Tak)
     - Jeśli Marta jest lepsza niż Patryk, to Patryk musi być gorszy od Kamilia lub ukończyć zawody z równym wynikiem.
     - Można założyć, że wszystkie osoby kończą zawody ze względu na porównanie ich umiejętności.

  3. Rozwiązanie każdego kroku:
     - Kto przegrał? (Kamil)
     - Czy Marta i Patryk uczestniczyli w zawodach? (Tak)
     - Wobec porównania między Martą a Patrykiem, muszą się umieścić poza Kamilem, gdyż Marta lepsza od Patryka.

  4. Wniosek:
     Odpowiedź: Patryk lub Trzecia osoba.",Zero-Shot CoT,medium
1,Kamil nie wygrał. Marta lepsza niż Patryk. Kto wygrał?,Marta,"1. Analityczne przyjrzenie się problemowi: Zostały podane trzy osoby - Kamil, Marta i Patryk, a stwierdzono, że Kamil nie wygrał i również, że Marta jest lepsza od Patryka.

  2. Rozbicie problemu na mniejsze kroki: Wynik pojedynczej gry musi się zdecydują o tym, kto wygrał. Przedstawimy to następująco - Kamil grał z Martą i Patrykiem osobno i wyniki były:
     - Gra 1: Kamil vs Marta -> Marta wygrała
     - Gra 2: Kamil vs Patryk -> Wynik tego pojedynczego spotkania jest nieznany

  3. Rozwiązywanie każdego kroku osobno: W grze 1, gdy Marta wygrała, oznacza to, że ona jest lepsza od Kamilia w grze bezpośredniej. Oznacza to również, że nie może być lepszy niż Patryk, ponieważ Marta jest lepsza niż Patryk, a Kamil nie wygrał. To implikuje, że:
     - Gra 2: Patryk wygrał

  4. Wyciągnięcie ostatecznego wniosku: Gdyby Kamil mógł wygrać, to musiałby wygrać zarówno z Martą i z Patrykiem, co jest sprzeczne z faktem, że Marta wygrała z Kamilem. Oznacza to, że Kamil musi być gorszy od obu - Marty i Patryka. Ostatecznie, nie może być najlepszym spośród trzech, bo wtedy musiałby wygrać, a zarówno Marta, jak i Patryk są lepsi niż on.

Odpowiedź: Kamil jest gorszy od Marty i Patryka.",Few-Shot CoT,medium
2,"Dwie liczby różnią się o 5, a ich suma to 17. Jakie to liczby?",6 i 11,"Liczba pierwsza: 7
   Liczba druga: 12

Odpowiedź: 7 i 12",Zero-Shot,medium
2,"Dwie liczby różnią się o 5, a ich suma to 17. Jakie to liczby?",6 i 11,"Odpowiedź: 6 i 11 (bo jeśli liczbę A nazwiemy 6, to A-5 = 11, dlatego B=A+5 = 11)",One-Shot,medium
2,"Dwie liczby różnią się o 5, a ich suma to 17. Jakie to liczby?",6 i 11,Odpowiedź: 8 i 13,Few-Shot,medium
2,"Dwie liczby różnią się o 5, a ich suma to 17. Jakie to liczby?",6 i 11,"1. Analizacja problemu: Dwa liczby mają różnicę 5 i sumę 17. Zadanie polega na znalezieniu tych dwóch liczb.

  2. Rozbicie problemu na mniejsze kroki:
     - Pobierz dowolną z liczb (x).
     - Wyznacz drugą liczbę (y), która różni się od x o 5 jednostek.

  3. Rozwiązanie każdego kroku:

     - Przyjmij x jako liczbe1. Wtedy liczba2 (y) będzie miała wartość x+5.

  4. Wyciągnięcie ostatecznego wniosku:

     - Teraz wystarczy sprawdzić, czy suma tych dwóch liczb to 17. Jeśli tak, to znaleziono odpowiedź; jeśli nie, to musimy spróbować jeszcze inne wartości x.
     - Sprawdź właśnie: x = 6 i y = x+5 = 11. Suma liczb jest 17. Odpowiedź: Liczby to 6 i 11.",Zero-Shot CoT,medium
2,"Dwie liczby różnią się o 5, a ich suma to 17. Jakie to liczby?",6 i 11,"1. Analityczne przeglądanie problemu - Zakładam, że mamy dwie liczby naturalne n1 i n2 takie, że n1 - n2 = 5 i n1 + n2 = 17.

  2. Rozbicie problemu na mniejsze kroki - Zaczynam od tego, jakiego rodzaju liczby te mogą być, czyli parzyste lub nieparzyste. Więc będzie 3 możliwości:
      a) Obie liczby są parzyste i różnią się o 5;
      b) Obie liczby są nieparzyste i różnią się o 5;
      c) Jedna jest parzysta, druga nieparzysta.

  3. Rozwiązanie każdego kroku - Probuję wyeliminować te możliwości odpowiednimi rozważaniami:
      a) W przypadku obu parzystych, liczby są więc równe 2(x + 1) i 2(x - 5), gdzie x jest wspólną wielokrotnością. Jednak nie można, żeby dwie wielokrotności były różniące się o 5 (zobacz własność modulo). Więc ta możliwość nie jest prawidłowa.
      b) W przypadku obu nieparzystych, liczby są równe 2x + 1 i 2(x + 5), a ponieważ suma jest parzysta (17 = 2*8), to jedna z liczb musi być mniejsza od drugiej o 2. Jednak tez w tym przypadku nie można było, że dwie liczby są różniące się o 5 i są oddzielone o 2 (zobacz własność modulo). Więc ta możliwość nie jest prawidłowa.
      c) Może to być jedna parzysta a druga nieparzysta. Rozważam liczby parzyste i nieparzyste, które są względem siebie różniące się o 5:
          - Parzysta: 2n (gdzie n jest naturalne)
          - Nieparzysta: 2n + 1
          Teraz muszę znaleźć jedną liczbę parzystą, która dzieli sumę 17 i różni się o 5 od drugiej. Szukając takich liczb, stwierdzałem że:
           - 2n = 17 → n = 8 (nie może to być pierwsza liczba, bo wtedy druga byłaby nieparzysta)
           - 2(n + 5) = 17 → n = 4 (jest parzysta, a różni się o 5 od liczby znalezionej poprzednio, to jest pierwsza liczba).
      Więc w przypadku c) liczby są: 8 i 4.

  4. Wyciąganie ostatecznego wniosku - Odpowiedź: Liczby są 4 i 13 (bo 4 + 13 = 17, a różnią się o 5).",Few-Shot CoT,medium
3,"Gdyby dziś było jutro, dziś byłby piątek. Jaki dziś dzień?",czwartek,Odpowiedź: Piątek,Zero-Shot,hard
3,"Gdyby dziś było jutro, dziś byłby piątek. Jaki dziś dzień?",czwartek,Odpowiedź: poniedziałek,One-Shot,hard
3,"Gdyby dziś było jutro, dziś byłby piątek. Jaki dziś dzień?",czwartek,Odpowiedź: wtorek,Few-Shot,hard
3,"Gdyby dziś było jutro, dziś byłby piątek. Jaki dziś dzień?",czwartek,"1. Analiza problemu: Otrzymujemy dwie zdanie dotyczące czasu – ""Dziś jest"" i ""Dziś byłby piątkiem"". Wiemy, że gdy jakiś dzień jest piątką, to ten dzień nie może być dziś.

  2. Rozbicie problemu na mniejsze kroki: Ustalenie czy zdanie ""Dziś byłby piątkiem"" jest prawdziwe lub fałszywe w kontekście aktualnej chwili. Jeżeli to zdanie jest fałszywe, to dziś musi być innym dniem niż piątek.

  3. Rozwiązanie kroku: Zdanie ""Dziś byłby piątkiem"" zawiera przysługę – użycie czynnej formy czasu przyszłego w odniesieniu do chwili obecnej. Wszystkie zdania dotyczące czynności, które mają miejsce w przyszłości lub przeszłości są fałszywe w chwili obecnej, gdyż nie odpowiadają rzeczywistości. Zatem ""Dziś byłby piątkiem"" to zdanie fałszywe i dziś musi być innym dniem niż piątek.

  4. Ostateczny wniosek: Dziś jest innym dniem niż piątek. Odpowiedź: Dziś jest (nazwa innego dnia, na przykład ""Wtorek"").",Zero-Shot CoT,hard
3,"Gdyby dziś było jutro, dziś byłby piątek. Jaki dziś dzień?",czwartek,"1. Analityczne rozbicie problemu: W tej zagadce stwierdza się, że jeżeli by to jutro było piątek, to dziś musi być inny dzień (zaloty na piątki są jednorazowe).

  2. Rozbicie problemu na mniejsze kroki: Najpierw sprawdź, co dzieje się jeżeli to jutro jest piątek i potem użyj tej informacji, aby wyciągnąć wniosek o dzisiejszym dniu.

  3. Rozwiązanie każdego kroku: Jeżeli to jutro jest piątek, to dziś musi być inny dzień (zaloty na piątki są jednorazowe). Teraz użyj tego faktu do wyciągnięcia wniosków.

  4. Ostateczne rozumowanie i odpowiedź: Jeżeli to jutro jest piątek, dziś musi być inny dzień. Gdybyśmy już byli w piątku, to jutro miałoby być sobota (sobota jest dniem po piątku). Jednak na początku zagadki stwierdzono, że jeżeli to jutro będzie piątek, dziś musi być inny dzień. Więc dziś musi być wtorek (najbliższy dzień, który nie jest piątką).
   Odpowiedź: wtorek",Few-Shot CoT,hard
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,"Odpowiedź: 3 (Jacek sam jest jednym z braci, a każda z jego siostr ma jeszcze po jednym bracu)",Zero-Shot,easy
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,Odpowiedź: 3 (Jacek i jego dwa sistry mają razem trzech braci),One-Shot,easy
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,Odpowiedź: 3,Few-Shot,easy
